FID_377_El,field_1,F_,Velocidad,VOLUMEN_CO,Distancia,Altitud,Curso,ANO,MES,DIA,HORA,MIN,SEG,Latitud,Longitud,xcoord,ycoord,x_mina,y_mina,RASTERVALU,FID_Pol_SL,Cat_Zona,Pit,Cat_Bench,Bench,Camino,Tramo,Pendiente,MC,Cat_Carga
385550,364422,169824,34,"220623.96","40213.42",3144,74,2021,9,16,23,35,23,-24.246953,-68.97834,502404.9672,7318779.895,25729.75416,110390.2152,3103.51049805,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385602,593957,145041,35,"266869.47","43546.7",3117,116,2021,9,30,16,23,5,-24.246952,-68.976967,502544.3519,7318779.984,25869.13892,110390.3036,3105.97094727,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385507,226536,138750,34,"168460.02","-----",3080,331,2021,8,28,22,56,1,-24.246952,-69.004487,499750.5661,7318780.169,23075.35309,110390.4892,3075.04516602,2,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Buff 15 m","",0.0,"",""
385488,94561,347152,38,"134701.82","35535.61",3084,331,2021,8,22,13,17,37,-24.246952,-69.004363,499763.1544,7318780.17,23087.94137,110390.4896,3075.49169922,0,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Buff 5 m","",0.0,"",""
385498,182700,67361,57,"150219.14","-----",3071,99,2021,8,25,16,33,0,-24.24695,-69.002495,499952.7907,7318780.396,23277.5777,110390.7157,3082.0234375,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
385524,232578,144792,38,"-----","-----",3076,97,2021,8,29,3,43,33,-24.246948,-69.001977,500005.3772,7318780.618,23330.16421,110390.938,3084.69970703,47,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Main road","SL_T31",3.84,"1",""
385483,93949,346415,37,"134595.75","-----",3128,72,2021,8,22,12,24,0,-24.246945,-68.978432,502395.6276,7318780.782,25720.41461,110391.1024,3103.31787109,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385504,226315,138529,36,"168402.97","-----",3120,123,2021,8,28,22,45,21,-24.246943,-68.97689,502552.169,7318780.979,25876.956,110391.2988,3106.16333008,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385575,515665,66637,37,"249460.42","42358.17",3131,109,2021,9,23,17,59,52,-24.246943,-68.977082,502532.6775,7318780.982,25857.46447,110391.302,3105.67602539,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385570,515561,66533,31,"249418.35","-----",3102,100,2021,9,23,17,54,6,-24.246943,-69.002303,499972.2822,7318781.171,23297.06921,110391.4911,3083.06933594,18,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Interseccion","",0.0,"Intersección",""
385519,229965,142179,29,"169256.48","37561.5",3132,132,2021,8,29,1,22,24,-24.24694,-68.976777,502563.6406,7318781.309,25888.42763,110391.629,3106.50585938,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
385566,514348,65320,42,"249120.86","42330.6",3114,112,2021,9,23,16,56,5,-24.24694,-68.977043,502536.6367,7318781.313,25861.42374,110391.6335,3105.76586914,21,"SULPHIDELEACH","OUTPIT","Out Bench","Out Bench","Terminal","",0.0,"","Zona de descarga"
